Images,LM1,LM2,LM3,LM4,LM5,LM6,LM7,LM8,LM9,LM10,LM11
56,3.17288,2.25938,1.40075,2.68392,1.76056,3.73132,3.77072,4.47128,3.72042,2.42639,0.78781
57,2.2768,1.77342,2.37711,1.23943,2.85414,2.23313,2.02268,1.925,3.10034,3.34074,2.59074
58,1.6518,2.37576,2.82971,1.2491,0.86617,6.2078,4.70643,5.03658,4.06407,1.52225,1.56981
59,2.01443,1.1814,0.97499,1.02379,0.34428,1.51329,0.81651,1.08587,0.75806,1.53179,2.23152
60,3.14515,2.3243,1.13627,1.50887,1.46765,1.41434,0.33466,2.61983,3.53365,1.7513,2.63234
61,2.21718,1.37429,1.42243,1.83205,0.61492,1.5339,1.84116,1.79431,3.13516,2.41256,1.39066
62,2.30077,2.49519,1.72836,4.2987,4.10153,2.78387,1.98103,1.66016,1.79102,2.32777,1.92561
63,1.56422,1.29218,0.94817,2.21978,0.82332,2.98533,1.45446,0.88072,2.3492,0.41431,2.10303
64,0.64639,0.76561,1.23988,0.52346,0.35642,2.09036,1.42536,0.793,1.99159,1.86268,1.46291
65,1.26354,0.73287,0.73209,0.97121,0.6033,2.54679,0.19498,2.25981,1.90768,0.8282,0.79013
66,1.33825,0.74512,1.23813,0.96431,0.90618,2.30723,2.07915,2.88126,2.79483,2.58753,1.03022
67,0.63039,0.18934,0.37316,0.82593,1.00953,4.82237,4.5437,4.94324,5.64515,2.32272,1.16354
68,2.62996,2.87673,2.53948,2.19766,2.98708,2.47596,1.54979,1.95741,1.20691,3.55216,2.94098
69,1.01613,0.66251,0.91109,1.08015,3.29767,4.97536,1.45822,0.21216,1.15575,2.48102,1.26751
70,1.23362,2.25188,0.6631,2.52159,2.23016,0.58491,2.41619,2.52541,2.9788,2.95094,2.27737
71,0.35138,0.96353,1.07658,1.13527,1.12446,1.50045,2.04208,3.12926,1.99407,1.83661,0.4552
72,0.69214,3.23042,2.94188,1.16776,1.64146,2.49218,3.29965,2.6756,2.08459,0.18047,0.44172
73,0.70459,0.11457,0.42447,1.52627,0.71227,3.06085,4.0915,3.08326,2.98627,0.70562,0.74807
74,0.59982,0.13776,0.23518,0.77229,0.30475,2.17447,2.00099,1.88587,1.60002,2.18926,1.65618
75,1.12973,1.16721,2.30392,2.03945,2.46196,3.24777,3.59076,4.55855,5.03518,1.972,0.92596
76,1.38284,1.82678,3.74728,1.76182,1.0765,1.5974,0.73248,1.29188,3.08641,3.01431,1.37854
77,2.00673,2.23508,1.78402,1.80484,2.94398,1.27856,1.11511,2.21304,2.38424,2.10094,1.42773
78,3.08968,2.31525,1.49379,2.42065,0.61041,4.95269,5.47765,4.80739,4.96784,4.96288,1.91435
79,2.53202,2.8562,3.09443,1.7981,1.89489,4.08454,2.32608,2.64759,1.14861,3.21328,1.76083
80,2.00038,1.98992,0.9119,1.38696,1.16295,1.9178,0.38566,3.3686,0.9354,2.73036,1.60732
81,1.90791,0.06854,0.85443,1.16688,0.70732,3.32295,3.46426,2.73682,2.29133,1.31271,0.49595
82,2.55648,1.17765,2.03145,2.09018,3.2091,1.20087,0.90546,1.78552,0.30717,1.46724,2.50366
83,0.4302,0.56199,0.67067,0.90586,1.2837,5.48666,4.71633,1.98212,1.00726,1.38943,1.04254
84,2.90107,1.7861,3.27109,3.7577,3.01503,2.60858,3.16107,3.35266,1.84294,3.79698,3.98135
85,1.57111,3.43502,1.3038,0.92475,3.65468,5.43757,3.49469,4.20822,3.95795,2.32411,2.64105
86,0.82395,0.85048,1.49504,1.39306,3.48956,4.28937,4.64413,3.74056,3.43587,2.03069,2.35926
87,1.26295,0.58716,1.2244,0.49903,1.05567,2.6593,0.44203,0.91992,1.93824,1.94594,0.36683
88,1.397,1.27589,0.8202,0.45496,0.73449,1.17093,1.5643,2.09057,3.15028,0.69826,0.80926
89,0.96125,0.29409,0.95656,0.98724,0.59485,1.16059,2.26112,2.34185,1.20682,0.74786,0.06705
90,2.76822,2.6357,3.2456,2.92722,4.796,1.07178,2.75424,2.15569,4.25575,4.64291,3.00375
91,1.19619,1.74655,1.95659,1.06038,3.76284,1.46574,0.25296,2.60505,3.38533,1.33341,2.04996
92,1.20517,1.56192,0.94288,0.7868,1.4712,1.63232,1.72795,2.28791,2.01134,1.74341,1.28663
93,3.05921,2.8755,2.77069,2.62496,3.46313,2.94332,4.07626,3.91252,4.48724,3.01088,1.49213
94,0.87149,0.21397,0.99112,0.86369,1.72394,1.28,2.22256,1.7226,1.01979,0.5431,1.85649
95,3.52703,2.98279,2.82763,3.89179,2.43549,5.12025,4.27907,5.34203,6.11338,5.13841,3.11361
96,6.94533,6.01201,5.64751,6.04822,6.28542,3.86609,3.69183,4.12516,4.47387,7.16635,6.68417
