Images,LM1,LM2,LM3,LM4,LM5,LM6,LM7,LM8,LM9,LM10
61,3.23309,1.4515,2.59781,2.91458,3.7752,1.90079,2.28163,1.84734,1.72342,1.72337
62,3.07854,2.22773,2.5769,1.92713,1.72882,0.55659,0.67619,1.55903,2.03022,1.74614
63,2.37513,0.71801,1.41762,0.9193,0.86024,1.1203,3.04909,1.08174,1.28282,0.78461
64,5.33534,4.67982,5.15311,5.89267,4.04428,3.96574,5.67531,4.96257,6.5329,5.33323
65,0.9178,4.01864,1.63084,2.22567,0.67359,2.53276,1.15476,1.53089,2.28928,2.51807
66,2.20667,1.17592,2.61029,1.86994,3.85392,1.16327,1.21073,1.10297,0.80487,0.91971
67,1.90147,1.16581,2.84963,0.38102,1.77768,1.35334,1.06153,2.00453,1.47143,3.36029
68,2.40858,6.77791,5.39957,5.46872,4.30594,2.42918,1.07232,1.49981,1.75002,1.65127
69,6.84816,11.78201,4.5533,8.58534,5.96148,9.57398,6.8611,9.29814,7.29496,5.80799
70,1.57464,2.63247,1.22068,2.06483,3.38516,1.88074,0.46101,1.38505,1.02286,2.03338
71,2.06423,0.82677,0.38031,1.8247,1.46672,1.77399,0.09212,0.74351,1.50488,0.4718
72,3.5183,2.71924,1.9285,0.58058,1.82917,1.40501,1.15239,2.54624,2.41039,7.6547
73,0.71244,5.52868,2.20146,2.70772,1.94318,1.85324,2.96226,3.17472,2.79019,0.436
74,0.82284,2.33568,2.06385,0.75512,3.6941,3.52392,1.33429,1.38462,1.17719,1.43524
75,0.38332,2.19558,1.28618,3.50042,4.50501,1.49693,1.37091,1.71729,0.53845,0.75112
76,3.21664,5.82626,3.30979,5.66357,4.76184,6.14653,3.66971,5.46747,5.02172,4.88231
77,0.26435,2.82793,1.99185,1.85063,2.79376,1.82756,0.33394,0.98776,2.02824,2.85582
78,3.78034,6.30057,3.19257,2.61135,4.53691,2.14261,2.07528,1.19377,3.19691,3.53147
