Images,LM1,LM2,LM3,LM4,LM5,LM6,LM7,LM8
76,3.28762,3.25329,2.64203,2.70235,3.78868,5.8195,5.37792,3.55322
77,3.69514,3.36201,4.12443,4.47465,4.42217,3.03262,3.19527,2.60559
78,7.44982,8.0687,7.09925,7.4855,0.61153,8.35516,8.89008,6.56779
79,4.75696,1.06805,1.70398,2.65202,3.22017,2.23761,2.1258,4.75432
80,0.78072,2.33444,1.80203,0.67939,0.48345,3.62537,4.15105,2.49215
81,1.02138,1.804,0.96363,2.73298,3.00413,2.63688,2.15709,1.84678
82,2.04875,0.65137,1.89938,1.7106,3.69374,2.63698,1.48241,1.88319
83,0.19973,2.92939,1.71663,1.52937,1.23379,2.0684,1.36316,0.28704
84,3.0457,2.21632,2.06596,0.92658,2.84904,1.44695,1.40721,1.66386
85,2.71375,2.08132,1.76723,1.72904,1.86778,1.40511,2.57285,4.13528
86,1.76247,1.9065,2.72124,2.71709,2.59019,5.36724,4.74649,1.25257
87,2.25857,3.37424,2.27501,1.06429,0.1217,0.9863,2.07598,3.56266
88,0.86662,3.29819,4.6992,3.1612,1.00356,0.61271,2.14954,1.92798
89,1.19808,3.42797,2.9703,2.98827,2.29311,1.19332,3.06848,1.05611
90,2.65019,2.00537,1.56323,3.02489,2.33166,1.62124,3.1477,1.66464
91,3.56194,4.05339,2.30577,2.03743,3.23552,4.83654,5.38879,6.66687
92,5.01598,2.90763,1.40806,1.21347,1.42711,3.75211,3.20052,1.0388
93,2.262,1.13557,1.01044,0.5203,3.30627,0.6424,0.89231,1.16715
94,1.43975,1.24928,2.12106,2.31397,2.98485,2.0388,1.75213,0.57004
95,2.10843,2.02114,0.77162,2.16349,3.27267,4.62167,2.93635,2.74469
96,2.20121,2.71098,2.67755,2.35478,3.2316,2.40541,2.05358,2.15819
97,2.7242,2.43032,1.30176,1.65933,1.8491,2.11412,1.45659,1.79566
98,2.40355,2.27133,0.49074,4.38807,0.81843,2.94313,1.95916,1.8501
99,1.50244,3.64937,1.96361,2.5046,6.24616,4.68711,4.51511,11.05633
100,2.315,2.03204,1.74329,2.06934,1.48251,0.63453,0.40058,0.93216
101,1.36182,0.92222,0.62287,0.83045,1.49977,4.30813,2.45484,2.2969
102,1.81032,1.44862,1.82713,2.36362,0.46527,0.77032,1.53098,2.51656
103,3.89098,3.08461,1.2999,2.09393,2.30767,2.9566,4.99642,4.96334
104,1.45816,5.70413,1.79481,2.06033,2.7787,1.82998,1.27441,5.82267
105,2.9403,1.26844,1.6761,1.09005,1.26864,1.74996,1.78066,0.91852
106,1.26332,1.25609,1.86266,5.65732,0.40404,1.24274,2.46955,1.65199
107,2.6253,5.39325,2.59761,3.53022,2.60337,3.96511,3.06577,3.15276
108,0.55985,1.59444,3.60859,0.76196,1.39462,1.93682,2.10413,2.39138
109,2.06394,2.15116,2.11425,2.8648,1.46789,2.64645,1.23312,2.3404
110,2.25143,1.13596,1.1669,2.59148,0.46931,1.91969,0.3827,3.95125
111,2.88731,0.90891,3.36307,1.39378,2.39545,2.62795,1.59056,0.91556
112,2.1067,5.02686,3.14486,0.97991,1.03056,2.84962,3.45502,4.07051
113,3.38473,4.61398,4.57205,1.7059,2.17136,0.80366,4.00035,3.50269
114,0.66638,1.8607,2.38649,0.69751,1.52806,1.20671,2.16174,1.52472
115,1.16368,0.33116,1.81465,1.92527,2.77304,0.82129,1.22252,5.38708
116,0.28691,0.44799,1.19548,4.14142,3.21411,4.79331,1.78232,2.13845
117,2.7975,2.57475,2.7022,0.56553,1.36456,0.72504,2.89114,5.19241
118,0.88171,0.81776,2.473,2.67037,1.81966,5.51254,1.02522,2.63821
119,0.92446,1.99342,0.60945,1.34206,1.57016,1.42829,2.06377,1.53786
120,3.51284,3.45387,2.09443,2.84102,1.51912,2.30379,2.04629,1.73165
121,0.65349,3.44019,2.86888,0.63911,1.98191,2.72101,2.88639,6.53582
122,2.46384,0.68959,2.54161,2.31789,2.85954,3.00017,2.50279,1.32321
123,2.88674,2.57672,2.20881,3.5526,1.02961,0.19804,1.55989,4.82544
124,1.07541,2.31962,1.02848,2.26769,2.68594,2.71459,2.30111,0.73505
125,2.71677,2.85536,1.7285,2.19577,2.668,2.25257,3.61135,1.67175
126,1.51117,1.43201,1.5875,3.26204,4.85425,2.00371,2.21004,2.85467
127,2.90205,1.86232,0.59754,1.98882,0.69014,0.63944,0.59905,1.4768
128,0.70988,2.39408,1.44599,2.34769,2.40469,1.28121,2.40108,2.74352
129,0.63819,1.0153,3.1052,1.47754,1.03957,1.98182,2.30573,0.90169
130,1.63607,2.3124,1.68791,1.06324,0.60493,1.27509,0.19389,1.25438
131,1.23492,0.19529,0.22633,3.93599,2.3305,3.0161,1.21644,1.06604
132,2.78221,2.01604,2.99519,4.20912,4.23808,3.43921,1.58077,3.28849
133,2.71734,4.23775,1.72477,1.38914,2.2969,3.33695,1.42933,4.51804
134,1.11037,1.51163,3.33492,3.57824,2.00365,2.5603,0.64223,1.70207
135,2.29435,1.19184,2.75487,0.83813,1.99755,1.15994,1.94727,0.70886
136,3.64844,1.71232,3.02372,1.62404,1.58587,1.73465,0.98826,0.52735
137,3.68519,4.36599,0.95721,2.09499,3.56285,2.82201,3.08492,3.06562
138,4.39655,2.50088,3.27393,0.91854,2.09537,3.07415,3.07674,3.34062
139,3.2368,1.91257,3.33652,3.94468,2.44474,0.9208,1.66339,0.45011
140,1.13,2.45328,3.64312,3.18235,3.8439,2.61887,3.84551,2.68332
141,3.65578,4.9703,0.83143,3.68668,2.29907,2.46852,2.66499,0.26476
142,1.00475,3.99468,2.0489,3.26597,1.82148,2.62086,2.42827,4.36427
143,2.38874,1.77085,5.06242,3.73765,2.16325,1.59385,2.3487,4.2513
144,1.6798,0.4766,3.38381,3.32848,3.68455,5.25614,2.33121,3.52353
145,2.64553,3.43963,2.19406,1.42377,0.53398,2.68968,1.79806,0.28134
146,2.51499,1.68124,1.9299,2.62096,2.48607,2.23539,1.53483,0.74482
