Images,LM1,LM2,LM3,LM4,LM7,LM8,LM9,LM10
76,4.74481,4.61687,4.29925,4.59628,4.68927,4.20481,6.33177,4.32566
77,0.69812,2.54108,1.22794,1.72395,1.2306,1.03247,1.5331,2.10235
78,4.89457,6.52796,4.14797,3.48501,3.07296,2.47549,1.38193,1.9224
79,1.64647,2.77347,2.88692,1.07898,0.64236,1.22236,0.70744,0.63418
80,1.45457,2.28493,2.42374,0.91898,1.67241,2.4706,1.97443,1.79873
81,2.81302,0.42721,3.53249,1.25419,1.0302,1.77551,1.25258,2.4931
82,3.81175,3.42267,5.44641,4.03889,3.17629,2.2025,5.65296,1.81285
83,2.14149,2.09073,3.21358,0.93878,1.86777,2.64352,3.39717,1.71138
84,2.00109,1.60605,4.12505,3.29392,4.14861,2.42663,3.79163,3.11212
85,2.62535,3.2393,3.92801,4.62056,2.66349,2.74841,2.93515,4.27777
86,4.86832,2.99702,4.43105,2.32196,3.49867,4.79321,4.01943,3.26885
87,0.46547,3.29081,3.7608,2.92768,1.87699,2.64237,2.75241,1.58572
88,0.38235,1.53306,0.58578,1.27817,1.23816,0.55021,0.74434,1.13916
89,0.45417,1.64506,0.96911,0.87763,0.41282,0.78011,2.56884,0.82711
90,1.43954,2.56818,1.47335,1.79917,1.11988,1.84265,0.72035,1.41932
91,2.23431,2.78949,2.20545,0.74969,0.85518,1.53507,1.09655,1.4526
92,2.2216,2.42627,0.77422,1.39785,1.49982,0.73614,1.52352,0.939
93,2.05772,2.36472,1.92465,1.26663,1.13349,2.04958,1.48859,1.45306
94,0.58243,1.25316,0.3706,1.04849,0.26276,2.22561,2.10026,3.86557
95,3.772,3.59692,4.70535,2.49995,1.27978,2.44034,3.15278,2.25625
96,3.07182,4.31705,2.44485,1.53357,0.77176,1.02317,1.16076,2.02722
97,0.66816,0.31687,2.31604,1.07934,1.48171,1.45925,1.59136,3.02374
98,4.77972,0.91862,4.71334,3.44893,6.08127,1.40259,2.26272,0.2062
99,2.65922,1.72252,3.51291,2.08102,3.90951,1.44139,3.4745,1.03758
100,1.08073,1.52316,1.29967,4.18714,2.08535,0.84831,3.5437,2.83504
101,1.50694,1.46769,1.6123,0.93808,1.76175,0.54578,1.85767,0.49044
102,1.38216,1.27923,2.00256,2.22262,3.63221,1.12787,0.66483,2.36512
103,2.06126,1.67529,2.19295,2.03244,1.40732,1.89311,3.12762,1.24943
104,2.07635,2.42148,2.21879,3.36449,1.84154,3.5317,2.22398,3.76492
105,4.75194,5.46506,5.459,6.94794,3.56463,5.1784,3.50193,3.44502
106,0.76882,3.43357,1.86603,3.69996,2.46582,2.59455,1.46703,1.57405
107,1.0599,0.93652,2.70689,3.09619,1.87561,1.44593,1.75076,1.12413
108,4.88878,4.44474,6.42462,1.79342,2.19963,1.65636,1.3596,1.30363
109,1.57848,2.66087,0.56262,1.30337,1.05229,1.323,1.68784,1.9843
110,0.42229,3.94863,1.83996,4.65129,2.44469,3.12608,2.99294,1.82099
111,6.04141,2.56441,5.26791,2.5241,0.31148,0.40618,2.56147,2.46949
112,1.42961,1.43722,2.82433,1.34753,1.03024,0.51136,1.1765,3.01853
113,2.12259,0.81149,2.77118,0.22669,1.14091,1.49309,2.06849,0.50635
114,3.29471,2.47046,3.3138,3.19918,0.88694,2.29075,4.03536,2.35281
115,1.76139,2.21493,0.76534,2.05591,0.8787,0.83963,1.67215,1.60481
116,4.40825,6.94366,3.42882,4.39323,2.14962,4.36237,1.10498,0.9332
117,2.5506,2.51782,2.51373,6.67983,1.06039,2.55997,1.4215,1.59882
118,3.45031,4.61937,3.3216,5.16027,2.03686,4.88742,0.34167,0.58024
119,1.87839,1.93354,2.35626,1.7653,0.92195,1.06964,0.49365,0.04191
120,3.23184,4.00365,3.48688,2.50016,6.07535,0.8672,5.76553,3.41065
121,2.36663,4.32417,1.81763,2.13419,1.57117,1.23573,1.12346,2.51256
122,3.46071,3.48762,4.23596,5.86289,2.46239,4.33672,2.35193,1.3795
123,3.17966,2.91845,3.9903,1.56003,0.89768,0.09141,1.19678,1.08419
124,7.1265,5.70746,3.60741,6.0331,1.87506,4.56472,4.40691,3.42248
125,3.76113,1.5124,2.71704,1.4339,1.17772,1.67959,1.74062,2.45437
126,4.0253,3.95985,2.25549,3.80003,0.20539,2.7285,0.55992,1.52474
127,3.4174,1.57621,0.63398,2.32609,0.67844,0.98237,0.37832,2.00546
128,4.21022,2.88115,2.20942,1.6482,4.39961,4.43673,3.02198,3.53216
129,5.08718,3.98594,2.00945,1.18602,1.87249,1.51671,3.78293,2.19594
130,3.45894,3.75613,2.95202,4.81084,0.82713,2.81629,1.43774,0.25849
131,2.05933,2.28175,1.52738,2.45981,1.01001,2.20023,1.79519,0.91072
132,3.81846,2.38968,2.13991,1.51661,0.54928,2.47873,1.42248,2.22974
133,4.90171,5.27694,5.49737,3.57714,4.38693,3.0932,2.71581,2.48451
134,1.15993,1.75817,1.3721,2.26118,0.93368,1.47116,2.32805,1.22327
135,2.29566,1.31866,1.43589,2.35021,1.70521,1.45256,1.24437,1.30047
136,5.29894,7.17853,7.00344,6.56454,3.30776,3.61357,3.16217,1.23676
137,1.70456,1.91128,1.01465,3.63661,1.32711,0.83968,2.07368,1.48333
138,6.68944,6.59556,4.96914,6.4006,2.6213,4.31047,1.29317,2.58403
139,0.61079,2.41749,1.00825,1.0547,1.29285,2.71555,3.05013,2.97143
140,2.27405,5.62977,5.30332,2.74899,1.74696,1.28854,2.27585,0.48047
141,2.17111,1.34788,2.2534,0.46981,1.3616,0.12872,0.70937,0.53871
142,4.01803,1.36624,5.82394,3.65584,1.14061,2.65156,2.93344,3.00363
143,2.45445,0.62908,2.63881,1.14356,1.58105,0.8374,3.02782,0.84649
144,1.83941,5.86325,1.81829,3.17084,1.8846,3.03497,2.22034,2.53707
