Images,LM2,LM3,LM4,LM5,LM7,LM8,LM10,LM11
76,1.90678,3.18705,0.99414,1.59154,1.58578,1.33311,2.76657,1.65536
77,2.10624,2.09233,1.76352,2.7651,0.79446,2.20028,1.86559,1.31901
78,2.40642,1.88312,2.29961,0.57253,6.11821,4.49384,4.49819,2.61034
79,1.6425,2.41933,0.90712,0.81013,1.48915,2.74702,3.44428,1.97871
80,1.45016,0.67254,0.8583,1.80255,0.51521,3.89545,2.35557,1.27497
81,0.24622,0.59423,0.96284,0.97893,2.77285,2.13157,1.55551,0.21462
82,0.80383,1.90539,2.19612,2.34491,0.91505,0.86692,1.51637,1.43966
83,0.45812,0.67664,0.667,1.14385,4.9485,1.39109,1.52276,1.1929
84,2.31269,3.1239,3.39416,2.3596,2.5751,2.48184,2.80999,3.55434
85,3.47098,2.19163,2.36194,4.3718,2.57741,3.31112,3.82795,4.43402
86,0.56418,1.17982,2.05071,2.18531,3.74028,3.5241,2.2985,1.59586
87,0.50174,0.82806,0.70739,0.80067,0.57994,0.53574,2.50501,1.20795
88,1.90535,0.65076,1.38042,0.76833,1.75159,1.93007,0.85994,0.35984
89,0.76228,0.95586,1.26157,1.09658,2.02372,2.30447,0.71844,0.38111
90,3.90761,5.05153,4.13647,6.52815,2.347,1.43966,5.15902,4.59781
91,1.80125,1.87087,0.93721,4.55771,1.08976,1.94231,0.70229,2.11449
92,1.20992,0.46402,0.76386,1.58366,2.18474,2.23345,1.5392,1.05133
93,2.85368,4.17024,3.65234,4.42672,4.881,3.63823,2.10943,2.43021
94,0.44662,1.17631,1.12579,1.65887,2.30862,2.35217,0.46565,1.51446
95,2.84687,3.50462,3.32426,2.68227,4.25111,5.22063,4.9441,2.68169
96,5.68055,6.03424,5.50399,5.67688,3.07249,2.19563,6.32165,7.92405
97,1.4962,2.16566,1.26865,0.55171,1.27165,1.22022,1.62052,1.25251
98,3.19699,2.79927,3.56721,2.29345,0.58166,0.57639,2.73928,2.17956
99,2.20301,2.07972,1.17342,0.79052,5.86518,4.84882,2.10691,3.4152
100,1.41833,0.54465,0.66647,1.23473,1.80212,0.73145,1.18608,1.54705
101,2.72742,0.91714,1.64603,2.09844,0.44939,2.72791,0.69617,1.29174
102,0.559,1.39476,0.89379,1.23144,2.96491,1.90649,1.72699,2.01402
103,1.45479,0.51629,1.61492,1.54436,1.36572,1.29566,0.42288,1.31257
104,1.30316,1.55817,0.53412,1.9319,0.30108,4.29341,2.09019,0.91558
105,0.36227,0.24916,0.82995,2.59227,2.60039,1.11584,1.32281,2.11255
106,0.87762,1.76744,0.54441,2.20761,0.78399,2.46032,1.78327,1.16789
107,0.43259,0.59638,1.13005,0.97337,1.2252,5.01303,2.04759,0.89019
108,3.4587,3.93351,5.5108,5.02398,3.21305,3.88985,5.36745,5.103
109,0.87046,1.70976,0.31776,0.83873,1.59863,2.00799,2.67881,1.93284
110,3.79153,6.05259,2.95589,3.39777,4.85016,4.17137,3.79789,5.39675
111,1.36939,0.58691,1.12704,0.24787,2.73864,2.71465,2.01786,1.04426
112,1.35886,0.93897,0.85218,0.45972,1.7985,2.04099,1.48656,1.68792
113,2.1178,2.81918,2.01511,2.68351,0.74081,1.72051,1.88912,2.33285
114,2.51479,2.47179,3.08033,2.79922,6.9327,1.55981,2.68866,2.28224
115,1.55808,1.33899,1.6059,2.19065,6.54551,5.71018,2.67905,1.75447
